tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,1,8,12,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,program_change,,,,,0,0,1,,,1,0,,,,
0,control_change,,,,,0,0,2,,,,0,64,0,,
0,control_change,,,,,0,0,2,,,,0,64,0,,
0,control_change,,,,,0,0,2,,,,0,64,0,,
0,program_change,,,,,0,0,2,,,1,0,,,,
0,track_name,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,set_tempo,,,,,0,1,0,,428571,,,,,,
0,key_signature,,,,,0,1,0,Fm,,,,,,,
512,time_signature,1,4,24,8,512,1,0,,,,,,,,
512,note_on,,,,,0,0,1,,,,0,,,72,57
512,control_change,,,,,0,0,1,,,,0,64,0,,
512,control_change,,,,,512,0,1,,,,0,64,0,,
512,set_tempo,,,,,0,1,0,,545454,,,,,,
512,control_change,,,,,512,0,2,,,,0,64,0,,
512,control_change,,,,,0,0,2,,,,0,64,0,,
512,control_change,,,,,0,0,2,,,,0,64,0,,
512,note_on,,,,,0,0,2,,,,0,,,60,24
512,note_on,,,,,0,0,1,,,,0,,,48,42
713,control_change,,,,,201,0,2,,,,0,64,127,,
713,control_change,,,,,201,0,1,,,,0,64,127,,
1536,control_change,,,,,0,0,2,,,,0,64,0,,
1536,note_on,,,,,0,0,2,,,,0,,,65,29
1536,time_signature,4,4,24,8,1024,1,0,,,,,,,,
1536,control_change,,,,,0,0,2,,,,0,64,127,,
1536,control_change,,,,,823,0,2,,,,0,64,0,,
1536,control_change,,,,,823,0,1,,,,0,64,0,,
1536,control_change,,,,,0,0,1,,,,0,64,127,,
1536,note_on,,,,,0,0,1,,,,0,,,77,62
1536,note_on,,,,,0,0,1,,,,0,,,53,47
1536,set_tempo,,,,,0,1,0,,545454,,,,,,
1556,note_off,,,,,20,0,2,,,,0,,,60,0
1556,note_off,,,,,0,0,1,,,,0,,,48,0
1556,note_off,,,,,20,0,1,,,,0,,,72,0
1755,control_change,,,,,199,0,1,,,,0,64,0,,
1755,control_change,,,,,199,0,2,,,,0,64,0,,
2511,control_change,,,,,756,0,1,,,,0,64,127,,
2511,control_change,,,,,756,0,2,,,,0,64,127,,
3072,note_on,,,,,561,0,1,,,,0,,,79,61
3072,note_on,,,,,0,0,1,,,,0,,,55,46
3072,set_tempo,,,,,1536,1,0,,545454,,,,,,
3072,note_on,,,,,561,0,2,,,,0,,,67,28
3092,note_off,,,,,20,0,2,,,,0,,,65,0
3092,note_off,,,,,0,0,1,,,,0,,,53,0
3092,note_off,,,,,20,0,1,,,,0,,,77,0
3584,note_on,,,,,0,0,1,,,,0,,,56,48
3584,note_on,,,,,492,0,1,,,,0,,,80,65
3584,set_tempo,,,,,512,1,0,,521739,,,,,,
3584,note_on,,,,,492,0,2,,,,0,,,68,30
3604,note_off,,,,,20,0,1,,,,0,,,79,0
3604,note_off,,,,,20,0,2,,,,0,,,67,0
3604,note_off,,,,,0,0,1,,,,0,,,55,0
3608,control_change,,,,,4,0,1,,,,0,64,0,,
3608,control_change,,,,,4,0,2,,,,0,64,0,,
3852,control_change,,,,,244,0,2,,,,0,64,127,,
3852,control_change,,,,,244,0,1,,,,0,64,127,,
4096,note_on,,,,,244,0,2,,,,0,,,65,33
4096,note_on,,,,,244,0,1,,,,0,,,77,66
4096,note_on,,,,,0,0,1,,,,0,,,53,51
4096,set_tempo,,,,,512,1,0,,480000,,,,,,
4116,note_off,,,,,20,0,1,,,,0,,,80,0
4116,note_off,,,,,0,0,1,,,,0,,,56,0
