tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,key,note,velocity
0,set_tempo,624897,0,1,0,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,0,0,,,
0,program_change,,0,0,1,,,,,,,0,0,,,
0,control_change,,0,0,1,,,,,93,0,0,,,,
0,control_change,,0,0,1,,,,,93,0,0,,,,
0,control_change,,0,0,1,,,,,91,0,0,,,,
0,control_change,,0,0,1,,,,,91,0,0,,,,
0,key_signature,,0,1,1,,,,,,,,,D,,
0,control_change,,0,0,1,,,,,10,64,0,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,,
0,control_change,,0,0,1,,,,,1,0,0,,,,
0,control_change,,0,0,1,,,,,32,0,0,,,,
0,control_change,,0,0,1,,,,,32,0,0,,,,
0,control_change,,0,0,1,,,,,0,0,0,,,,
0,control_change,,0,0,1,,,,,0,0,0,,,,
0,control_change,,0,0,1,,,,,10,64,0,,,,
0,track_name,,0,1,1,,,,,,,,,,,
0,control_change,,0,0,2,,,,,7,98,1,,,,
0,track_name,,0,1,2,,,,,,,,,,,
0,control_change,,0,0,2,,,,,0,0,1,,,,
0,control_change,,0,0,2,,,,,0,0,1,,,,
0,control_change,,0,0,2,,,,,32,0,1,,,,
0,control_change,,0,0,2,,,,,32,0,1,,,,
0,program_change,,0,0,2,,,,,,,1,53,,,
0,program_change,,0,0,2,,,,,,,1,53,,,
0,control_change,,0,0,2,,,,,1,0,1,,,,
0,control_change,,0,0,2,,,,,1,0,1,,,,
0,control_change,,0,0,2,,,,,10,64,1,,,,
0,control_change,,0,0,2,,,,,10,64,1,,,,
0,control_change,,0,0,2,,,,,91,0,1,,,,
0,control_change,,0,0,2,,,,,91,0,1,,,,
0,control_change,,0,0,2,,,,,93,0,1,,,,
0,control_change,,0,0,2,,,,,93,0,1,,,,
0,key_signature,,0,1,2,,,,,,,,,D,,
0,control_change,,0,0,1,,,,,7,108,0,,,,
0,control_change,,0,0,1,,,,,7,108,0,,,,
0,control_change,,0,0,2,,,,,7,98,1,,,,
0,set_tempo,624897,0,1,0,,,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
960,note_on,,960,0,1,,,,,,,0,,,69,100
1416,note_on,,456,0,1,,,,,,,0,,,69,0
1440,note_on,,24,0,1,,,,,,,0,,,83,100
1440,note_on,,0,0,1,,,,,,,0,,,45,100
1668,note_on,,228,0,1,,,,,,,0,,,83,0
1680,note_on,,12,0,1,,,,,,,0,,,81,100
1896,note_on,,216,0,1,,,,,,,0,,,45,0
1908,note_on,,12,0,1,,,,,,,0,,,81,0
1920,note_on,,12,0,1,,,,,,,0,,,79,100
1920,note_on,,0,0,1,,,,,,,0,,,57,100
1920,note_on,,0,0,1,,,,,,,0,,,64,100
1920,note_on,,0,0,1,,,,,,,0,,,67,100
2148,note_on,,228,0,1,,,,,,,0,,,79,0
2160,note_on,,12,0,1,,,,,,,0,,,73,100
2376,note_on,,216,0,1,,,,,,,0,,,67,0
2376,note_on,,0,0,1,,,,,,,0,,,64,0
2376,note_on,,0,0,1,,,,,,,0,,,57,0
2388,note_on,,12,0,1,,,,,,,0,,,73,0
2400,note_on,,0,0,1,,,,,,,0,,,78,100
2400,note_on,,12,0,1,,,,,,,0,,,67,100
2400,note_on,,0,0,1,,,,,,,0,,,46,100
2628,note_on,,228,0,1,,,,,,,0,,,78,0
2628,note_on,,0,0,1,,,,,,,0,,,67,0
2640,note_on,,12,0,1,,,,,,,0,,,76,100
2856,note_on,,216,0,1,,,,,,,0,,,46,0
2868,note_on,,12,0,1,,,,,,,0,,,76,0
2880,note_on,,12,0,1,,,,,,,0,,,47,100
2880,note_on,,0,0,1,,,,,,,0,,,74,100
3108,note_on,,228,0,1,,,,,,,0,,,74,0
3120,note_on,,12,0,1,,,,,,,0,,,66,100
3336,note_on,,216,0,1,,,,,,,0,,,47,0
3348,note_on,,12,0,1,,,,,,,0,,,66,0
3360,note_on,,0,0,1,,,,,,,0,,,73,100
3360,note_on,,0,0,1,,,,,,,0,,,62,100
3360,note_on,,12,0,1,,,,,,,0,,,59,100
3588,note_on,,228,0,1,,,,,,,0,,,73,0
3600,note_on,,12,0,1,,,,,,,0,,,71,100
3816,note_on,,0,0,1,,,,,,,0,,,59,0
3816,note_on,,216,0,1,,,,,,,0,,,62,0
3828,note_on,,12,0,1,,,,,,,0,,,71,0
3840,note_on,,12,0,1,,,,,,,0,,,65,100
3840,note_on,,0,0,1,,,,,,,0,,,69,100
4068,note_on,,228,0,1,,,,,,,0,,,69,0
4068,note_on,,0,0,1,,,,,,,0,,,65,0
4080,note_on,,12,0,1,,,,,,,0,,,68,100
4308,note_on,,228,0,1,,,,,,,0,,,68,0
4320,note_on,,12,0,1,,,,,,,0,,,66,100
4320,note_on,,0,0,1,,,,,,,0,,,71,100
4320,note_on,,0,0,1,,,,,,,0,,,45,100
4548,note_on,,228,0,1,,,,,,,0,,,71,0
4548,note_on,,0,0,1,,,,,,,0,,,66,0
4560,note_on,,12,0,1,,,,,,,0,,,69,100
4636,note_on,,76,0,1,,,,,,,0,,,69,0
4639,note_on,,3,0,1,,,,,,,0,,,71,100
4715,note_on,,76,0,1,,,,,,,0,,,71,0
4719,note_on,,4,0,1,,,,,,,0,,,69,100
4776,note_on,,57,0,1,,,,,,,0,,,45,0
4795,note_on,,19,0,1,,,,,,,0,,,69,0
4800,note_on,,5,0,1,,,,,,,0,,,68,100
4800,note_on,,0,0,1,,,,,,,0,,,57,100
4800,note_on,,0,0,1,,,,,,,0,,,62,100
4800,note_on,,0,0,1,,,,,,,0,,,66,100
5028,note_on,,228,0,1,,,,,,,0,,,68,0
5040,note_on,,12,0,1,,,,,,,0,,,69,100
5256,note_on,,216,0,1,,,,,,,0,,,66,0
5256,note_on,,0,0,1,,,,,,,0,,,57,0
5256,note_on,,0,0,1,,,,,,,0,,,62,0
5268,note_on,,12,0,1,,,,,,,0,,,69,0
5280,note_on,,12,0,1,,,,,,,0,,,67,100
5280,note_on,,0,0,1,,,,,,,0,,,76,100
5280,note_on,,0,0,1,,,,,,,0,,,57,100
5280,note_on,,0,0,1,,,,,,,0,,,61,100
5508,note_on,,228,0,1,,,,,,,0,,,76,0
5508,note_on,,0,0,1,,,,,,,0,,,67,0
5520,note_on,,0,0,1,,,,,,,0,,,78,100
5520,note_on,,12,0,1,,,,,,,0,,,69,100
5736,note_on,,216,0,1,,,,,,,0,,,61,0
5736,note_on,,0,0,1,,,,,,,0,,,57,0
5748,note_on,,12,0,1,,,,,,,0,,,78,0
5748,note_on,,0,0,1,,,,,,,0,,,69,0
5760,note_on,,0,0,1,,,,,,,0,,,74,100
5760,note_on,,12,0,1,,,,,,,0,,,50,100
5760,note_on,,0,0,1,,,,,,,0,,,66,100
5808,control_change,,48,0,1,,,,,7,107,0,,,,
5856,control_change,,48,0,1,,,,,7,106,0,,,,
5904,control_change,,48,0,1,,,,,7,105,0,,,,
5952,control_change,,48,0,1,,,,,7,104,0,,,,
6000,control_change,,48,0,1,,,,,7,103,0,,,,
6048,control_change,,48,0,1,,,,,7,102,0,,,,
6120,control_change,,72,0,1,,,,,7,101,0,,,,
6168,control_change,,48,0,1,,,,,7,100,0,,,,
6216,note_on,,0,0,1,,,,,,,0,,,66,0
6216,control_change,,0,0,1,,,,,7,99,0,,,,
6216,note_on,,48,0,1,,,,,,,0,,,74,0
6240,note_on,,24,0,1,,,,,,,0,,,57,100
6264,control_change,,24,0,1,,,,,7,98,0,,,,
6312,control_change,,48,0,1,,,,,7,97,0,,,,
6360,control_change,,48,0,1,,,,,7,96,0,,,,
6432,control_change,,72,0,1,,,,,7,95,0,,,,
6480,control_change,,48,0,1,,,,,7,94,0,,,,
6528,control_change,,48,0,1,,,,,7,93,0,,,,
6576,control_change,,48,0,1,,,,,7,92,0,,,,
6624,control_change,,48,0,1,,,,,7,91,0,,,,
6696,note_on,,72,0,1,,,,,,,0,,,57,0
6696,control_change,,0,0,1,,,,,7,90,0,,,,
6720,note_on,,24,0,1,,,,,,,0,,,57,100
6720,note_on,,0,0,1,,,,,,,0,,,66,100
6744,control_change,,24,0,1,,,,,7,89,0,,,,
6792,control_change,,48,0,1,,,,,7,88,0,,,,
6840,control_change,,48,0,1,,,,,7,87,0,,,,
6888,control_change,,48,0,1,,,,,7,86,0,,,,
6936,control_change,,48,0,1,,,,,7,85,0,,,,
7176,note_on,,0,0,1,,,,,,,0,,,57,0
7176,note_on,,240,0,1,,,,,,,0,,,66,0
7176,note_on,,0,0,1,,,,,,,0,,,50,0
7200,note_on,,7200,0,2,,,,,,,1,,,66,100
7200,note_on,,24,0,1,,,,,,,0,,,50,100
7542,note_on,,342,0,2,,,,,,,1,,,66,0
7560,note_on,,18,0,2,,,,,,,1,,,65,100
7674,note_on,,114,0,2,,,,,,,1,,,65,0
7680,note_on,,0,0,1,,,,,,,0,,,66,100
7680,note_on,,0,0,1,,,,,,,0,,,62,100
7680,note_on,,6,0,2,,,,,,,1,,,66,100
7680,note_on,,480,0,1,,,,,,,0,,,57,100
7728,control_change,,48,0,2,,,,,7,99,1,,,,
7824,control_change,,96,0,2,,,,,7,100,1,,,,
7896,control_change,,72,0,2,,,,,7,101,1,,,,
7992,control_change,,96,0,2,,,,,7,102,1,,,,
8064,control_change,,72,0,2,,,,,7,103,1,,,,
8136,note_on,,456,0,1,,,,,,,0,,,62,0
8136,note_on,,0,0,1,,,,,,,0,,,66,0
8136,note_on,,72,0,2,,,,,,,1,,,66,0
8136,note_on,,0,0,1,,,,,,,0,,,57,0
8136,control_change,,0,0,2,,,,,7,104,1,,,,
8160,note_on,,24,0,2,,,,,,,1,,,67,100
8160,note_on,,0,0,1,,,,,,,0,,,62,100
8160,note_on,,0,0,1,,,,,,,0,,,66,100
8160,note_on,,24,0,1,,,,,,,0,,,57,100
8232,control_change,,72,0,2,,,,,7,105,1,,,,
8304,control_change,,72,0,2,,,,,7,106,1,,,,
8400,control_change,,96,0,2,,,,,7,107,1,,,,
