tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,pitch,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,program_change,,,,,0,0,2,,,,,1,0,,,,
0,control_change,,,,,0,0,2,,,121,127,1,,,,,
0,control_change,,,,,0,0,2,,,93,37,1,,,,,
0,control_change,,,,,0,0,2,,,91,66,1,,,,,
0,control_change,,,,,0,0,2,,,10,53,1,,,,,
0,control_change,,,,,0,0,2,,,7,126,1,,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,,
0,key_signature,,,,,0,1,6,,,,,,,C,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,,
0,key_signature,,,,,0,1,7,,,,,,,C,,,
0,end_of_track,,,,,0,1,15,,,,,,,,,,
0,key_signature,,,,,0,1,15,,,,,,,C,,,
0,end_of_track,,,,,0,1,14,,,,,,,,,,
0,key_signature,,,,,0,1,14,,,,,,,C,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,,
0,key_signature,,,,,0,1,13,,,,,,,C,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,,
0,end_of_track,,,,,0,1,11,,,,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,,
0,key_signature,,,,,0,1,8,,,,,,,C,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,key_signature,,,,,0,1,16,,,,,,,C,,,
0,end_of_track,,,,,0,1,16,,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,,
0,set_tempo,,,,,0,1,0,,441176,,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,,
0,control_change,,,,,0,0,1,,,7,126,0,,,,,
0,control_change,,,,,0,0,1,,,10,84,0,,,,,
0,control_change,,,,,0,0,1,,,91,67,0,,,,,
0,control_change,,,,,0,0,1,,,93,35,0,,,,,
0,control_change,,,,,0,0,1,,,121,127,0,,,,,
0,program_change,,,,,0,0,1,,,,,0,0,,,,
0,key_signature,,,,,0,1,1,,,,,,,C,,,
96,pitchwheel,,,,,96,0,1,,,,,0,,,-8192,,
96,pitchwheel,,,,,96,0,2,,,,,1,,,-8192,,
384,control_change,,,,,288,0,2,,,10,53,1,,,,,
384,control_change,,,,,288,0,1,,,10,73,0,,,,,
480,control_change,,,,,96,0,2,,,91,63,1,,,,,
480,control_change,,,,,96,0,1,,,91,63,0,,,,,
576,control_change,,,,,96,0,1,,,93,40,0,,,,,
576,control_change,,,,,96,0,2,,,93,40,1,,,,,
672,program_change,,,,,96,0,1,,,,,0,0,,,,
672,program_change,,,,,96,0,2,,,,,1,0,,,,
1536,note_on,,,,,864,0,1,,,,,0,,,,60,72
1584,note_on,,,,,0,0,1,,,,,0,,,,64,72
1584,note_off,,,,,48,0,1,,,,,0,,,,60,0
1632,note_off,,,,,48,0,1,,,,,0,,,,64,0
1632,note_on,,,,,0,0,1,,,,,0,,,,67,72
1680,note_on,,,,,0,0,1,,,,,0,,,,72,72
1680,note_on,,,,,1008,0,2,,,,,1,,,,48,72
1680,note_on,,,,,0,0,2,,,,,1,,,,36,72
1680,note_off,,,,,48,0,1,,,,,0,,,,67,0
2284,note_off,,,,,604,0,2,,,,,1,,,,48,100
2284,note_off,,,,,0,0,2,,,,,1,,,,36,100
2284,note_off,,,,,604,0,1,,,,,0,,,,72,0
2304,note_on,,,,,0,0,2,,,,,1,,,,31,72
2304,note_on,,,,,20,0,1,,,,,0,,,,67,72
2304,note_on,,,,,20,0,2,,,,,1,,,,43,72
3068,note_off,,,,,764,0,2,,,,,1,,,,43,100
3068,note_off,,,,,0,0,2,,,,,1,,,,31,100
3068,note_off,,,,,764,0,1,,,,,0,,,,67,100
3072,note_on,,,,,4,0,2,,,,,1,,,,52,72
3072,note_on,,,,,4,0,1,,,,,0,,,,76,72
3644,note_off,,,,,572,0,2,,,,,1,,,,52,100
3648,note_off,,,,,576,0,1,,,,,0,,,,76,100
3648,note_on,,,,,4,0,2,,,,,1,,,,53,72
3648,note_on,,,,,0,0,1,,,,,0,,,,77,72
3740,note_off,,,,,92,0,1,,,,,0,,,,77,100
3740,note_off,,,,,92,0,2,,,,,1,,,,53,100
3744,note_on,,,,,4,0,1,,,,,0,,,,74,72
3744,note_on,,,,,4,0,2,,,,,1,,,,50,72
3836,note_off,,,,,92,0,1,,,,,0,,,,74,100
3836,note_off,,,,,92,0,2,,,,,1,,,,50,100
3840,note_on,,,,,4,0,1,,,,,0,,,,72,72
3840,note_on,,,,,4,0,2,,,,,1,,,,48,72
4220,note_off,,,,,380,0,1,,,,,0,,,,72,100
4220,note_off,,,,,380,0,2,,,,,1,,,,48,100
4608,note_on,,,,,388,0,1,,,,,0,,,,79,51
