tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,5,,,,,,,,,6,10,64,,
0,control_change,0,0,5,,,,,,,,,6,7,127,,
0,program_change,0,0,5,,,,,,,,73,6,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,5,10,64,,
0,control_change,0,0,4,,,,,,,,,5,7,80,,
0,program_change,0,0,4,,,,,,,,60,5,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,5,10,64,,
0,program_change,0,0,3,,,,,,,,60,5,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,control_change,0,0,2,,,,,,,,,1,7,60,,
0,program_change,0,0,2,,,,,,,,68,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,1,10,64,,
0,control_change,0,0,1,,,,,,,,,1,7,60,,
0,program_change,0,0,1,,,,,,,,68,1,,,,
0,control_change,0,0,3,,,,,,,,,5,7,80,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,7,,,,
0,control_change,0,0,6,,,,,,,,,7,10,64,,
0,control_change,0,0,11,,,,,,,,,13,7,127,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,,12,10,64,,
0,control_change,0,0,10,,,,,,,,,12,7,127,,
0,program_change,0,0,10,,,,,,,,43,12,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,,11,10,64,,
0,control_change,0,0,9,,,,,,,,,11,7,127,,
0,program_change,0,0,9,,,,,,,,48,11,,,,
0,control_change,0,0,6,,,,,,,,,7,7,127,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,10,10,64,,
0,control_change,0,0,8,,,,,,,,,10,7,127,,
0,program_change,0,0,8,,,,,,,,48,10,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,,8,10,64,,
0,control_change,0,0,7,,,,,,,,,8,7,127,,
0,program_change,0,0,7,,,,,,,,48,8,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,,13,10,64,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,2,4,24,8,,,,,,,
0,key_signature,0,1,0,,D,,,,,,,,,,,
192,note_on,192,0,5,,,,,,,,,6,,,81,110
240,note_on,0,0,5,,,,,,,,,6,,,78,110
240,note_on,48,0,5,,,,,,,,,6,,,81,0
286,note_on,46,0,5,,,,,,,,,6,,,78,0
288,note_on,2,0,5,,,,,,,,,6,,,79,110
320,note_on,32,0,5,,,,,,,,,6,,,79,0
336,note_on,16,0,5,,,,,,,,,6,,,76,110
368,note_on,32,0,5,,,,,,,,,6,,,76,0
384,note_on,16,0,5,,,,,,,,,6,,,74,110
384,note_on,384,0,7,,,,,,,,,8,,,66,45
384,note_on,384,0,6,,,,,,,,,7,,,69,45
384,note_on,384,0,8,,,,,,,,,10,,,62,45
478,note_on,94,0,7,,,,,,,,,8,,,66,0
478,note_on,94,0,6,,,,,,,,,7,,,69,0
478,note_on,94,0,8,,,,,,,,,10,,,62,0
544,note_on,160,0,5,,,,,,,,,6,,,74,0
576,note_on,0,0,7,,,,,,,,,8,,,67,45
576,note_on,98,0,7,,,,,,,,,8,,,57,45
576,note_on,98,0,8,,,,,,,,,10,,,57,45
576,note_on,32,0,5,,,,,,,,,6,,,78,110
576,note_on,98,0,6,,,,,,,,,7,,,74,45
600,note_on,24,0,6,,,,,,,,,7,,,74,0
600,note_on,0,0,6,,,,,,,,,7,,,73,45
600,note_on,24,0,5,,,,,,,,,6,,,78,0
600,note_on,0,0,5,,,,,,,,,6,,,76,110
624,note_on,24,0,6,,,,,,,,,7,,,73,0
624,note_on,0,0,6,,,,,,,,,7,,,74,45
624,note_on,0,0,5,,,,,,,,,6,,,78,110
624,note_on,24,0,5,,,,,,,,,6,,,76,0
648,note_on,24,0,6,,,,,,,,,7,,,74,0
648,note_on,0,0,6,,,,,,,,,7,,,73,45
648,note_on,0,0,5,,,,,,,,,6,,,76,110
648,note_on,24,0,5,,,,,,,,,6,,,78,0
670,note_on,94,0,8,,,,,,,,,10,,,57,0
670,note_on,0,0,7,,,,,,,,,8,,,67,0
670,note_on,94,0,7,,,,,,,,,8,,,57,0
672,note_on,24,0,5,,,,,,,,,6,,,76,0
672,note_on,0,0,6,,,,,,,,,7,,,74,45
672,note_on,24,0,6,,,,,,,,,7,,,73,0
672,note_on,0,0,5,,,,,,,,,6,,,78,110
696,note_on,0,0,5,,,,,,,,,6,,,76,110
696,note_on,24,0,5,,,,,,,,,6,,,78,0
696,note_on,0,0,6,,,,,,,,,7,,,73,45
696,note_on,24,0,6,,,,,,,,,7,,,74,0
720,note_on,0,0,6,,,,,,,,,7,,,71,45
720,note_on,24,0,5,,,,,,,,,6,,,76,0
720,note_on,0,0,5,,,,,,,,,6,,,74,110
720,note_on,24,0,6,,,,,,,,,7,,,73,0
744,note_on,0,0,6,,,,,,,,,7,,,73,45
744,note_on,24,0,6,,,,,,,,,7,,,71,0
744,note_on,24,0,5,,,,,,,,,6,,,74,0
744,note_on,0,0,5,,,,,,,,,6,,,76,110
766,note_on,22,0,5,,,,,,,,,6,,,76,0
766,note_on,22,0,6,,,,,,,,,7,,,73,0
768,note_on,0,0,7,,,,,,,,,8,,,66,45
768,note_on,98,0,7,,,,,,,,,8,,,57,45
768,note_on,2,0,5,,,,,,,,,6,,,78,110
768,note_on,2,0,6,,,,,,,,,7,,,74,45
768,note_on,98,0,8,,,,,,,,,10,,,50,45
862,note_on,94,0,6,,,,,,,,,7,,,74,0
862,note_on,94,0,7,,,,,,,,,8,,,57,0
862,note_on,94,0,8,,,,,,,,,10,,,50,0
862,note_on,94,0,5,,,,,,,,,6,,,78,0
862,note_on,0,0,7,,,,,,,,,8,,,66,0
960,note_on,98,0,8,,,,,,,,,10,,,62,45
960,note_on,98,0,5,,,,,,,,,6,,,78,110
960,note_on,98,0,6,,,,,,,,,7,,,74,45
960,note_on,98,0,7,,,,,,,,,8,,,62,45
992,note_on,32,0,5,,,,,,,,,6,,,78,0
992,note_on,32,0,6,,,,,,,,,7,,,74,0
992,note_on,32,0,8,,,,,,,,,10,,,62,0
992,note_on,32,0,7,,,,,,,,,8,,,62,0
1056,note_on,64,0,8,,,,,,,,,10,,,62,45
1056,note_on,64,0,7,,,,,,,,,8,,,64,45
1056,note_on,64,0,5,,,,,,,,,6,,,79,110
1056,note_on,64,0,6,,,,,,,,,7,,,74,45
1088,note_on,32,0,5,,,,,,,,,6,,,79,0
1088,note_on,32,0,8,,,,,,,,,10,,,62,0
1088,note_on,32,0,7,,,,,,,,,8,,,64,0
1088,note_on,32,0,6,,,,,,,,,7,,,74,0
1152,note_on,64,0,5,,,,,,,,,6,,,81,110
1152,note_on,64,0,6,,,,,,,,,7,,,74,45
1152,note_on,64,0,8,,,,,,,,,10,,,62,45
1152,note_on,64,0,7,,,,,,,,,8,,,66,45
1184,note_on,32,0,6,,,,,,,,,7,,,74,0
1184,note_on,32,0,7,,,,,,,,,8,,,66,0
1184,note_on,32,0,5,,,,,,,,,6,,,81,0
1246,note_on,94,0,8,,,,,,,,,10,,,62,0
1248,note_on,64,0,6,,,,,,,,,7,,,74,45
1248,note_on,64,0,7,,,,,,,,,8,,,67,45
