tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,control,value
0,time_signature,6,8,12,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,note_on,,,,,0,0,1,,,,,0,65,64,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,note_on,,,,,0,0,2,,,,,0,57,49,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,program_change,,,,,0,0,3,,,,52,1,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,program_change,,,,,0,0,7,,,,53,2,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,midi_port,,,,,0,1,10,,,0,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,midi_port,,,,,0,1,11,,,0,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,11,,,,,0,,,64,127
0,midi_port,,,,,0,1,12,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,end_of_track,,,,,0,1,12,,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,722892,,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,
52,note_on,,,,,52,0,2,,,,,0,57,0,,
60,note_on,,,,,8,0,2,,,,,0,60,54,,
81,control_change,,,,,81,0,11,,,,,0,,,64,0
115,note_on,,,,,55,0,2,,,,,0,60,0,,
119,control_change,,,,,4,0,2,,,,,0,,,10,103
120,note_on,,,,,0,0,2,,,,,0,53,32,,
120,note_on,,,,,1,0,2,,,,,0,57,59,,
122,control_change,,,,,41,0,11,,,,,0,,,64,127
177,note_on,,,,,57,0,2,,,,,0,53,0,,
180,note_on,,,,,0,0,2,,,,,0,60,65,,
180,note_on,,,,,3,0,2,,,,,0,57,0,,
184,control_change,,,,,62,0,11,,,,,0,,,64,0
229,control_change,,,,,45,0,11,,,,,0,,,64,127
240,note_on,,,,,0,0,2,,,,,0,58,72,,
240,note_on,,,,,240,0,1,,,,,0,67,54,,
240,note_on,,,,,60,0,2,,,,,0,46,54,,
242,note_on,,,,,2,0,1,,,,,0,65,0,,
242,note_on,,,,,2,0,2,,,,,0,60,0,,
296,control_change,,,,,67,0,11,,,,,0,,,64,0
