tick,type,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,end_of_track,0,1,24,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,24,,,,,,,,,,,,,
0,end_of_track,0,1,23,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,
0,end_of_track,0,1,22,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,
0,end_of_track,0,1,21,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,21,,,,,,,,,,,,,
0,track_name,0,1,20,,,,,,,,,,,,,
0,end_of_track,0,1,19,,,,,,,,,,,,,
0,track_name,0,1,19,,,,,,,,,,,,,
0,end_of_track,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,
0,end_of_track,0,1,20,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,end_of_track,0,1,25,,,,,,,,,,,,,
0,sysex,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,,600000,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
384,program_change,384,0,1,,,,,,,,71,0,,,,
385,control_change,0,0,1,,,,,,,,,0,10,55,,
385,control_change,1,0,1,,,,,,,,,0,7,63,,
386,program_change,386,0,2,,,,,,,,70,1,,,,
387,control_change,1,0,2,,,,,,,,,1,7,66,,
387,control_change,0,0,2,,,,,,,,,1,10,70,,
388,program_change,388,0,3,,,,,,,,56,2,,,,
389,control_change,1,0,3,,,,,,,,,2,7,95,,
389,control_change,0,0,3,,,,,,,,,2,10,58,,
390,program_change,390,0,4,,,,,,,,47,3,,,,
391,control_change,0,0,4,,,,,,,,,3,10,55,,
391,control_change,1,0,4,,,,,,,,,3,7,80,,
392,program_change,392,0,5,,,,,,,,48,4,,,,
393,control_change,1,0,5,,,,,,,,,4,7,123,,
393,control_change,0,0,5,,,,,,,,,4,10,55,,
394,program_change,394,0,6,,,,,,,,48,5,,,,
395,control_change,1,0,6,,,,,,,,,5,7,114,,
395,control_change,0,0,6,,,,,,,,,5,10,60,,
396,program_change,396,0,7,,,,,,,,48,6,,,,
397,control_change,1,0,7,,,,,,,,,6,7,110,,
397,control_change,0,0,7,,,,,,,,,6,10,68,,
398,program_change,398,0,8,,,,,,,,48,7,,,,
399,control_change,0,0,8,,,,,,,,,7,10,72,,
399,control_change,1,0,8,,,,,,,,,7,7,110,,
400,program_change,400,0,9,,,,,,,,48,8,,,,
401,control_change,0,0,9,,,,,,,,,8,10,75,,
401,control_change,1,0,9,,,,,,,,,8,7,115,,
404,program_change,404,0,10,,,,,,,,19,10,,,,
405,control_change,1,0,10,,,,,,,,,10,7,75,,
405,control_change,0,0,10,,,,,,,,,10,10,64,,
406,program_change,406,0,11,,,,,,,,52,11,,,,
407,control_change,1,0,11,,,,,,,,,11,7,127,,
407,control_change,0,0,11,,,,,,,,,11,10,55,,
408,program_change,408,0,12,,,,,,,,52,12,,,,
409,control_change,1,0,12,,,,,,,,,12,7,127,,
409,control_change,0,0,12,,,,,,,,,12,10,70,,
410,program_change,410,0,13,,,,,,,,52,13,,,,
411,control_change,1,0,13,,,,,,,,,13,7,127,,
411,control_change,0,0,13,,,,,,,,,13,10,55,,
412,program_change,412,0,14,,,,,,,,52,14,,,,
413,control_change,1,0,14,,,,,,,,,14,7,127,,
413,control_change,0,0,14,,,,,,,,,14,10,70,,
576,control_change,189,0,2,,,,,,,,,1,91,120,,
576,control_change,179,0,7,,,,,,,,,6,91,120,,
576,control_change,187,0,3,,,,,,,,,2,91,120,,
576,control_change,163,0,14,,,,,,,,,14,91,120,,
576,control_change,175,0,9,,,,,,,,,8,91,120,,
576,control_change,165,0,13,,,,,,,,,13,91,120,,
576,control_change,185,0,4,,,,,,,,,3,91,100,,
576,control_change,191,0,1,,,,,,,,,0,91,120,,
576,control_change,167,0,12,,,,,,,,,12,91,121,,
576,control_change,171,0,10,,,,,,,,,10,91,110,,
576,end_of_track,0,1,10,,,,,,,,,,,,,
576,control_change,169,0,11,,,,,,,,,11,91,120,,
576,control_change,181,0,6,,,,,,,,,5,91,120,,
576,control_change,177,0,8,,,,,,,,,7,91,120,,
